ChargePeriodStart,ChargePeriodEnd,ChargeFrequency,ChargeDescription,ChargeCategory,BillingPeriodStart,BillingPeriodEnd,Provider,Publisher,InvoiceIssuer,BillingAccountId,BillingAccountName,BilledCost,BillingCurrency,EffectiveCost,RegionId,ServiceCategory,ServiceName,SubAccountName,SubAccountId,AvailabilityZone,ResourceName,ResourceId,CommitmentDiscountName,CommitmentDiscountId,CommitmentDiscountType,CommitmentDiscountCategory,PricingCategory,SkuPriceId,ConsumedQuantity,ConsumedUnit
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Tiered Block Blob - Hot LRS - Write Operations - US Central,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.000683817,CAD,0.000683817,CentralUS,,Microsoft.Storage,sub-example,271403aa-09dc-4f66-a989-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.0123,Units
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Tiered Block Blob - All Other Operations - US Central,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.0000355474,CAD,0.0000355474,CentralUS,,Microsoft.Storage,sub-example,e87307c5-37f9-4b2a-9407999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.0079,Units
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Tiered Block Blob - All Other Operations - US Central,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.003588043,CAD,0.003588043,CentralUS,,Microsoft.Storage,sub-example,8ddae0be-5b4f-42db-88cb-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.7974,Units
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Network Peering - Intra-Region Ingress,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.0,CAD,0.0,CentralUS,Compute,microsoft.compute,sub-example,5a53405c-59aa-40a5-a9dd-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.0,GB
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Network Private Link - Standard Private Endpoint,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.122099941,CAD,0.122099941,EastUS2,,Microsoft.Network,sub-example,5c685b9f-c5d0-4123-9bdf-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,11.0,Hours
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Network Peering - Intra-Region Ingress,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.071705477,CAD,0.071705477,CentralUS,Compute,microsoft.compute,sub-example,904fa44c-85e5-4dfd-91d7-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,6.402318559,GB
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Network Private Link - Standard Data Processed - Ingress,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,6.65679e-9,CAD,6.65679e-9,CentralUS,Compute,microsoft.compute,sub-example,904fa44c-85e5-4dfd-91d7-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,5.99772e-7,GB
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,IP Addresses - Basic IPv4 Dynamic Public IP,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.000713089,CAD,0.000713089,westus2,,Microsoft.Network,sub-example,372de65c-0928-4d94-b3b1-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.160277778,Hours
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Network Peering - Intra-Region Ingress,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.131532691,CAD,0.131532691,CentralUS,Compute,microsoft.compute,sub-example,904fa44c-85e5-4dfd-91d7-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,11.74407063,GB
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Network Private Link - Standard Data Processed - Egress,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,6.19947e-9,CAD,6.19947e-9,CentralUS,Compute,microsoft.compute,sub-example,f804d8d5-9284-4b3d-8055-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,5.58794e-7,GB
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,IP Addresses - Basic IPv4 Dynamic Public IP,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.002121966,CAD,0.002121966,westus2,,Microsoft.Network,sub-example,372de65c-0928-4d94-b3b1-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.476944444,Hours
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Machines F/FS Series - F2/F2s - US Central,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.0,CAD,0.0,CentralUS,,Microsoft.Compute,sub-example,a6e2abce-be6a-46b4-8dbe-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.0,Hours
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Machines LS Series - L4s Spot Hours - US West 2,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.006114271,CAD,0.006114271,westus2,,Microsoft.Compute,sub-example,372de65c-0928-4d94-b3b1-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,Dynamic,,0.150003,Hours
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Azure Data Factory v2 - Cloud - Orchestration Activity Runs,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.479356887,CAD,0.479356887,CentralUS,,MICROSOFT.DATAFACTORY,sub-example,dbe7741a-d922-4f9f-a02f-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.428,Units
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2 - US Central,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.0,CAD,0.0,CentralUS,,Microsoft.Compute,sub-example,d76eeaaf-fc93-43c0-84e8-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.0,Hours
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Virtual Machines F/FS Series - F4/F4s - US Central,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.0,CAD,0.0,CentralUS,,Microsoft.Compute,sub-example,dd248f64-12f8-4188-a795-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,0.0,Hours
2023-09-01T00:00:00.000+0000,2023-09-02T00:00:00.000+0000,Usage-Based,Event Hubs - Standard Throughput Unit,Usage,2023-09-01T00:00:00.000+0000,2023-09-30T00:00:00.000+0000,Azure,,Microsoft,12345678,Example LTD.,0.400798274,CAD,0.400798274,CentralUS,,Microsoft.EventHub,sub-example,160e39bb-db42-463e-8572-999999999999,,the name or GUID,/subscriptions/<guid>/resourceGroups/<rg name>/providers/<arm provider>/<serviceName>/<deployedResourceName>,,,,,On-Demand,,12.0,Hours
